Model,Epoch,Loss method,Weighted loss,Learning rate,Batch size,Train Loss,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1,Val Weighted F1,Val C0,Val C1,Val C2,Val C3,Val C4,Status,Model path
UNetSmall-256-type-diceW,0,dice,True,0.0001,20,0.769,0.788,96.93,92.33,41.56,94.08,96.68,10.55,9.26,3.83,87.47, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,1,dice,True,0.0001,20,0.675,0.765,96.06,90.15,40.30,92.58,94.53,6.39,9.29,2.32,88.97, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,2,dice,True,0.0001,20,0.627,0.754,98.03,95.08,42.78,95.28,97.53,16.85,9.01,0.21,90.31, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,3,dice,True,0.0001,20,0.604,0.747,97.59,93.97,42.28,94.73,97.19,17.21,8.13,0.10,88.75, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,4,dice,True,0.0001,20,0.594,0.746,98.03,95.09,42.80,95.39,97.57,15.16,10.57,0.01,90.71, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,5,dice,True,0.0001,20,0.587,0.745,98.43,96.09,45.01,95.90,98.01,23.28,12.04,0.31,91.40, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,6,dice,True,0.0001,20,0.582,0.750,98.35,95.88,43.40,95.67,97.89,19.02,8.26,1.06,90.76,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,7,dice,True,0.0001,20,0.578,0.743,97.90,94.74,42.90,95.12,97.32,18.14,8.72,0.01,90.29, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,8,dice,True,0.0001,20,0.577,0.752,98.15,95.38,41.40,95.21,97.76,16.62,3.64,0.05,88.92,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,9,dice,True,0.0001,20,0.575,0.750,98.04,95.11,45.32,95.29,97.77,30.04,9.82,0.06,88.92,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,10,dice,True,0.0001,20,0.573,0.745,98.27,95.67,44.57,95.60,97.77,24.60,7.98,1.68,90.79,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,11,dice,True,0.0001,20,0.572,0.743,98.34,95.85,44.71,95.75,97.99,27.78,7.14,0.07,90.57, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,12,dice,True,0.0001,20,0.569,0.744,98.37,95.93,45.39,95.82,97.93,28.96,8.60,0.26,91.21,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,13,dice,True,0.0001,20,0.569,0.745,98.31,95.78,46.32,95.79,97.96,20.80,7.46,14.59,90.79,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
UNetSmall-256-type-diceW,14,dice,True,0.0001,20,0.568,0.753,98.04,95.11,42.32,95.05,97.73,18.52,7.25,0.03,88.07, last epoch. ending training.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-diceW.pth
